Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R61,5.1k,R_0402_1005Metric,-46.51,68.0,180.0,bottom
R62,5.1k,R_0402_1005Metric,-48.9,69.3,0.0,bottom
R7,22k,R_0402_1005Metric,-38.0,76.55,0.0,bottom
R8,15k,R_0402_1005Metric,-39.75,73.05,180.0,bottom
R9,2.2k,R_0402_1005Metric,-38.11,75.25,180.0,bottom
SW1,42J04,42J04,-55.61,48.09,0.0,top
SW2,42J04,42J04,-45.41,48.04,0.0,top
SW3,42J04,42J04,-35.16,48.09,0.0,top
SW4,42J04,42J04,-24.91,48.09,0.0,top
SW5,EDS102SZ,EDS102SZ,-55.6,56.7,180.0,top
TP1,WL PU,CheckPoint_1608Metric,-36.1,76.35,90.0,top
TP10,CAP CHG,CheckPoint_1608Metric,1.6,56.75,0.0,top
TP11,GND,CheckPoint_1608Metric,-25.1,69.55,0.0,top
TP12,PU2 MCUIN,CheckPoint_1608Metric,-42.1,67.05,0.0,top
TP2,PU2 BASE,CheckPoint_1608Metric,-38.85,70.45,0.0,top
TP3,PU1 BASE,CheckPoint_1608Metric,-32.7,69.95,90.0,top
TP4,PU2 INPUT,CheckPoint_1608Metric,-36.0,66.25,0.0,top
TP5,PU1 INPUT,CheckPoint_1608Metric,-29.7,59.45,90.0,top
TP7,+12V,CheckPoint_1608Metric,-39.3,77.35,0.0,top
TP8,CHG1 OUT,CheckPoint_1608Metric,1.1,69.35,0.0,top
TP9,+5V,CheckPoint_1608Metric,-50.05,69.7,180.0,top
TR1,MMUN2232LT1G,SOT95P237X111-3N,-25.35,64.1625,180.0,bottom
TR12,PJD1406PA-AU,TO-252-3,-19.7,68.6,90.0,bottom
TR2,MMUN2232LT1G,SOT95P237X111-3N,-28.3,53.4,270.0,bottom
TR3,"PMBS3904,215",SOT-23-3,-32.65,65.8,270.0,bottom
TR5,"PMBS3904,215",SOT-23-3,-38.4,64.25,270.0,bottom
TR6,"PMBS3904,215",SOT-23-3,-36.2,69.45,270.0,bottom
TR7,MMUN2232LT1G,SOT95P237X111-3N,-23.79,58.6,0.0,bottom
